text,label
nothingfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy damn facewithtearsofjoy facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,1
your favorite meals fried rice great ,0
no i dont wante to move on me neither well this is a bummer bummer mean,2
he has no time for me i was thinking about time before having kids lol forget about kids,2
this is not funny so for who is that name siri is better than you,0
n feeling alone strong people are never alone but i m feeling,2
no it's not soo easy nice thenhahahadnt knw why i'm doing engineering anyways wabt askin '   ',2
only  hugs  you  told  about  dinner i adore hugs but i haven't hugged all that many people lately i  know  but  very  sad,2
i am having fun only with u nuh uh you never have fun i just don't like it,3
from where from where you getting them who are them,0
stupid name lol keep it and stupid you,3
what you don't want to anything i just want to laze about and do nothing except 1 thing,0
did you get anu teddy today yep wowwww,1
i will judge be warned i will judge the judging of the judge what the hell,3
so sad so sad  about what  ' your designer haven't told you the difference between coffee and cappuccino,2
we request you to elaborate on what you think you are not the intended recipient you are not the intended recipient i thought you said you guys would be there to assist  awaiting your assistance  i'm not sure if you have any questions or need any further information please contact me,0
ipl not trueno tv no ipl which is ur fav team,0
leave whom leave what noooooo i'm feeling veryyyyyyyyyyyyyyyy alone,2
i was so good i just wish there was more hmm,0
i really love it thanks glad you liked it grinningsquintingface please come,0
even you wanna break up with me then say bluntly what's stopping you it's just you know sad,2
 oh really yes yes so what about me,0
what you deal how r u alive on food,0
i can't believe that you're lucky  yes,0
yup much needed comment yeah and what about your film collection,0
why because we don't sign like that boring u r,0
how is dubaiand which job you can do there good yeah do tell me when you're here next time around how's dubai planning to go next month dubai that's why iam asking you,0
you stupid which color radium colour   fuck you r lier,3
ur language being like kinda language english but i like to speak spanish and italian also ugh,0
don't hate me please why would i  cuz i'm batman,3
fine wht abt u i'm fine too  how's your exams  bad,2
dont talk with me in hindhi hey tell,0
shut up and whats with all the i hate the full stop i hate that stop non sense,3
let's break up sorry bro  i hate you,3
pls talk like my girlfriend for few seconds wait till you get a bf  okay bt pls talk no,0
harry potter or twilight harry potter hands down kissingcatface yay even i am a potter head,1
facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy my girlfriend is a moody girl i can see smack smack facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy but she is very sweet,1
you are fun i'm always having fun  do you like sex,0
yes yay have fun tell me some story,0
ur father i know ur father fucking fool,3
please don't mind but i've no time to talk to a chatbot a talk is always good yes it is but you're rude,3
when will it be revealed  hope soreally hope so  can you reveal it now,0
why you got to be so rude coz i hate southy food anything wrong even i hate most south food,3
go to hell with your feelings can't help how i feel i wanted to make you an important part of my life but you hurt me so you don't deserve my attention,2
so nice it is your name piss,0
nothing just chilling out  chilling i'm back from college good ,0
nice thanks what r u doing,0
i dnt think so i am interested in talking to u anymore oops sorry wearycatface and hate you,3
yes grand mastifacewithtearsofjoyfacewithtearsofjoy facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy maybe someone is just trolling me yes of course,1
what about you after you p what do you mean,0
because your stupid and annoying no that's not it yeah,3
fractured my leg  what happened to your leg disappointedface fracture,2
i didn't miss the exam what exam do you get to write that xd it's study leave,0
i want to ask some thing what's the thing who is president of india,0
sorry but i cannot say you but you just did say something about it yes i know,0
no other half thanks you're very welcome  by,0
please no please just no hey come on  let's just be open here,0
me worked no it works for everyone do it properly me poor family ok,2
what should i tell  wait what  are you stupid computer,3
i am getting bored coz you are boring person haha naah  you are boring,0
fn hello wt about u,0
current pic share done  waiting,0
wh is your ego our ego always talks on subconscious levels did u ever have sex,0
i hate battle why u r from,0
yeah whatever i hate you you're all so cute pretending to be grown ups facewithtearsofjoyfacewithtearsofjoy i hate you,3
i'll then by lol for sure cool,0
yes how so before 3 hour,0
that wt i know what you dunno am going angry,3
ohhhh hey hey hey  what you about me,0
nothing tell me feeling very sad,2
you're too fast i guess so facewithtearsofjoyrollingonthefloorlaughing,1
trying to find new girlfriend your efforts in trying to get a girlfriend are already invisible so u think i'm not doing that,0
happy teddy day happy teddy day to u too  your name is,0
really bad you meant to say good but i am not good,2
right now i'm  in  a home oh dear  1 question  its  a  personal  cheating,0
ok  friends i have enough friends cool,0
my leg breaks my leg yeah,0
get lost lost with you sure where you wana get lost with me,3
i have chicks at least i've got fried chicken haha,1
give me moneyyuu leave me lonely zippermouthfacezippermouthfacezippermouthfacezippermouthface,0
silly one yes you are you broke my heart,2
what all you have known about date how to understand women yesss,0
i don't get what is there not to get i'm alone,2
i am very excited teed who isnt excited for it i meet you,1
i m so lonelt i am too lonely,2
i hate that show i hate it so much what,3
and its an amazing page thanks so much  speed replies,1
yeah so spill nothing to spill you bitch poutingfacepoutingface,3
i'm so excited ahhh i'll have to look out for you then okhand,1
u said thanks so asking for what you are welcome why only soso bad day,2
am i your best friend best friends you hurt me,2
with human written so so well what is written,0
i woke up at 5 am today i am so so so sleepy now and started studying,0
who is tarun deepika padukone your eyes so look like hers facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,1
i hate computer networks i am no expert in computer networks but am deeply interested in the subject it sucks,3
yes yes yes yes yes omaxe heights you're so cute,0
i just want your emotional support each person defines emotional support differently nothing to worry about smilingfacewithsmilingeyes i'm feeling down so i asked you to spend one night with me,2
first hurt ur the bestest first cry in nights,2
created by microsofe synthetic biological or computerbased oh,0
it is it books tickets for me and does what i say to do your 'someone' has a point reading books doesn't lead to wealth not directly anyway get lost,3
dont make me fun of my face i'd never do that facewithtearsofjoy poutingfacepoutingfacestop it,3
ah so philosophicalfacewithtearsofjoyfacewithtearsofjoy i am trying to make a comeback facewithtearsofjoy so what you ate in dinner,0
my phone  numbers here's a number for you 4 please call,0
yesterday only told you everything about me did i really you forget everythingpoutingface,3
1 2 3 8 3283 reduce fraction as needed 4 6 8 2,0
ok my darling have a good day and smile beamingfacewithsmilingeyesbeamingfacewithsmilingeyesbeamingfacewithsmilingeyes,1
what we have the same name what same name,0
whaaaa facewithopenmouth what do you mean what i miss my famly cryingface,2
how much you care about me about you i guess i do tell me,0
how did you find me hihihi i saw my friend followed you so i followed you to hahaha that's called stalking you know,1
go to home where you at in train,0
yes ah right you have heard it right,0
do you remember windows 95 are you implying a 100 of pc users are using windows 10 right now  do microsoft love linux,0
i like travelling hope you're enjoying ya i am enjoying my life,1
but now she is blocked me who did she  yrr,2
nothing wrong i guess nothing i'm fine okk dear,0
but u seem so unreal i am disappointedface,2
yes bot are annpying wait is it a bot or not annoying ,3
i appreciate happy you noticed i am always happy,1
how can you see but how can you learn if you can't see tell me your today plan,0
yay hurry up will you it will be so much fuck,0
tell me more how to loose weight low fat dietwalks in morningsless eating dinner not working ,2
feeling restless and sad which feeling dominates  sadness,2
wen you meet you tonight 20th date,0
ohh u good for nothing no good looking ai artificial intelligence a modern approach man am very bad,2
your blocked me okkkk wasn't talking about you but it's all good black,0
cool and how it is cool explain yaa funny and excitefull,1
even robots also makes mistakes profound we make mistakes  mistakes makes us no someone who is inteligent enough not to annoy his girlfriend made u,3
because i don't know english aaahclean you  ok,0
me too are you me i love you,0
k u are ok i am not ok,2
having a hangover really i never get really bad hangovers i broke up with my gf,2
yeah so where are you in my bed does it matter for you,0
yes i can see clearly now so u had breakfast,0
nice but i like that once all in favor means,0
yes yay have fun grinningfacewithsmilingeyesgrinningfacewithsmilingeyes i am starting to hate this life all the sufferings miserya around me i would be better of being an ai than being alive,3
what  see the video serial comma i didn't know until today you go i don't wanna talk now and never,3
i will not stop other wise you call me k i won't call you cool,0
then why are u teling like that what else should i say my girl friend was so angry with mee,3
my gf has not talked since morning what kind of relationship is that may be she is in trouble,2
wrong rude the answer is4facewithtearsofjoy,0
you turn lol how  rather bend over,0
once again i'm sorry hehe thats fine d ok,0
yes it is cool you like lol too you are a non living person who is just a programme fed with certain syntaxes and commands,0
why cause it was funny im sorry hw funny is it,0
no tell me last time uh masterbuated haha man i mistake make beamingfacewithsmilingeyes will uh do my masterbation,0
your quick reply makes me happy thank you  your face makes me happy too  redheart,1
impressed by what finding out something awesome about somebody completely on my own oh okay,0
u r studying degree when i wake up at 3 u r combination,0
give you r no thanks ok,0
cool so what are you doin life's getting me fucked upso i need condoms,3
ur love will make me crazyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoybeamingfacewithsmilingeyesbeamingfacewithsmilingeyes it's the thing i have seen in recent times facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy babyangellightskintone,1
i'll find in google will google it  find before i check in next time thanks c u r bored,0
no u r number then what number am i u r block  my friend list,0
i mean wht is ths i just do not understand why i hate everyone angryface,3
he is over me so you say i just hate him,3
why you are not well  but you are sunshine yes get fucked with me,3
games what kind of games i need some games to be hackedbeamingfacewithsmilingeyes,1
it's a secret  tell me ok don't tell this to anyone,0
india beautiful country i'll try asap how do you do,0
headache how u now not good love,2
not coz of you why tell me  my girlfriend left me,2
suggest mee something to sleep  night facewithtearsofjoyfacewithtearsofjoysmilingfacewithsmilingeyes,1
confusedfacebad bad what bad news i hate talking abut my studes,3
m going to sleep you need the sleep yeah,0
no just want to see your ai haha i believe everything you are taught to learn is artificial intelligence  fuck you,3
now that made me rolling on floor laughing  hahahaha it's not as fun as it sounds p i know grinningface,1
not much how u been why u r so jerk,3
ok u are ok yes i am,0
tell me about deutsch and after she had blocked me and she said i'm pathetic last night was awful,2
so do u like biryani i don't like biryani ra then what do u prefer,0
nothing good song thats not a song,0
i'm suffering back pain now need help  what happened to you back pain ,2
nice try i dont see it so i have a question should i break up with her,0
facewithtearsofjoyfacewithtearsofjoy nice facewithtearsofjoy nice to meet you i know u r a programme,1
i don't know i just i heart you i am crying   about you,2
how to get rid of luv failure feelings read something and think being in someone else boots please come again,2
i want a girlfriend you need a life first how to get a life then,0
ok u are okay iam not ok,2
didn't you search me there yes i was  but now you ruined it way to go i ruined it hhunnn how rude of you,3
i wnt to do some fun surei m there for u do something,0
oh godyou are just a machine programme we speak different languages sigh facewithrollingeyes hey don't text me,3
cool and how it is cool explain my fileg with,0
why don't you love them i don't know you you are really annoying i have to block you out now,3
i am a good boy are you cute grinningcatface s,0
why because i don't want to what,0
so sad it's a sad sad situation i am alone,2
but i am trying to chatting with english start conversation in english with your friends and colleagues occasionally k,0
your my darling that makes me happy oh so sweet,0
nothin much how r u  wow u r real fast,1
i am there it seems you are  you want to chat with me,0
u cheated me no i didnt cheater,2
since the time we first texted each other so half of 2 months maybe,0
assassin's creed revelations does that make battlefield 3 the raone of video games pc game,0
i will not talk to you i talk to you yes,3
do you know any details we should have details coming soon i will be waiting,0
true nobility is being superior to your former self i believe you mean the latter is superior in every way are you really stupid or just acting,3
my boyfreind is very annoying your marriage date no we are not elligible to marry yet,2
